1,850.00,TRUE,FALSE,TRUE,920.12,9/10/2026,Statement 23 TFT(Unique Cause)
2,999.99,TRUE,FALSE,TRUE,1028.36,9-12-13-26,Statement 23 TFT(Unique Cause)
3,1250.00,TRUE,FALSE,TRUE,1217.81,9-12-15-16-26,Statement 23 TFT(Unique Cause)
4,1499.99,TRUE,FALSE,TRUE,1380.17,9-12-15-18-19-26,Statement 23 TFT(Unique Cause)
5,2500.00,TRUE,FALSE,TRUE,2165.00,9-12-15-18-21-22-26,Statement 23 TFT(Unique Cause)
6,2500.01,TRUE,FALSE,TRUE,2029.69,9-12-15-18-21-24-26,Statement 23 TFT(Unique Cause)
7,850.01,TRUE,FALSE,TRUE,874.12,-,Statement 23 TFT(Unique Cause)
8,1000.00,TRUE,FALSE,TRUE,974.25,-,Statement 23 TFT(Unique Cause)
9,1250.01,TRUE,FALSE,TRUE,1150.16,-,Statement 23 TFT(Unique Cause)
10,1500.00,TRUE,FALSE,TRUE,1299.00,-,Statement 23 TFT(Unique Cause)
11,0.00,TRUE,FALSE,TRUE,0.00,-,Statement 23 TFT(Unique Cause)
12,20000.00,TRUE,FALSE,TRUE,16237.50,-,Statement 23 TFT(Unique Cause)
13,2500.00,TRUE,TRUE,FALSE,2706.25,-,Statement 23 TTF(Masking solution)
14,2500.00,FALSE,TRUE,FALSE,2706.25,-,Statement 23 FTF(Unique Cause)
15,2500.00,TRUE,FALSE,FALSE,2706.25,-,Statement 23 TFF(Unique Cause)
16,2500.00,FALSE,TRUE,TRUE,2165.00,-,Statement 23 FTT(Unique Cause)
17,2500.00,FALSE,FALSE,TRUE,2706.25,-,Statement 23 FFT(Unique Cause)
